,title,location,price,area
0,Apartment Aalsmeerweg,            1059 AA Amsterdam (Hoofddorppleinbuurt)        ,"                €1,850 per month            ",65 m²
1,Apartment Klaas Katerstraat,            1069 RT Amsterdam (Osdorp-Midden)        ,"                €1,995 per month            ",80 m²
2,Apartment Bijlmerdreef,"            1103 TX Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,700 per month            ",74 m²
3,Apartment Kloveniersburgwal 60 2,            1012 CX Amsterdam (Burgwallen-Oude Zijde)        ,"                €2,500 per month            ",100 m²
4,Apartment Banstraat 28 II,            1071 KA Amsterdam (Museumkwartier)        ,"                €5,250 per month            ",150 m²
5,Apartment Marcantilaan,            1051 NE Amsterdam (Centrale Markt)        ,"                €3,100 per month            ",104 m²
6,Apartment Nassaukade,            1052 CK Amsterdam (Staatsliedenbuurt)        ,"                €1,850 per month            ",55 m²
7,Apartment Nieuwe Hoogstraat,            1011 HD Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,800 per month            ",65 m²
8,Apartment Iepenplein,            1091 JR Amsterdam (Oosterparkbuurt)        ,"                €1,900 per month            ",80 m²
9,Apartment Haringvlietstraat 15 I,            1078 JZ Amsterdam (Scheldebuurt)        ,"                €2,700 per month            ",91 m²
10,Apartment Van Oldenbarneveldtstraat,            1052 JT Amsterdam (Frederik Hendrikbuurt)        ,"                €2,000 per month            ",58 m²
11,Apartment Waalstraat,            1079 EC Amsterdam (Scheldebuurt)        ,"                €1,750 per month            ",72 m²
12,Apartment Spuistraat 257 D,            1012 VR Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,750 per month            ",60 m²
13,Apartment Van Baerlestraat 76 C,            1071 BB Amsterdam (Museumkwartier)        ,"                €3,250 per month            ",85 m²
14,Studio Solitudopad,            1096 DR Amsterdam (Omval/Overamstel)        ,"                €1,650 per month            ",38 m²
15,Apartment Jacob van Lennepkade 65 3,            1054 ZH Amsterdam (Helmersbuurt)        ,"                €3,400 per month            ",127 m²
16,Apartment Herengracht,            1015 BK Amsterdam (Grachtengordel-West)        ,"                €4,500 per month            ",161 m²
17,House Admiraal De Ruijterweg,            1056 EV Amsterdam (Geuzenbuurt)        ,"                €2,750 per month            ",75 m²
18,Apartment Bella Vistastraat 318,            1096 GM Amsterdam (Omval/Overamstel)        ,"                €4,250 per month            ",150 m²
19,Apartment VOC-kade 152,            1018 LG Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €3,250 per month            ",101 m²
20,Apartment Gustav Mahlerlaan 563 B,            1082 MK Amsterdam (Zuidas)        ,"                €2,000 per month            ",50 m²
21,Studio Nieuwezijds Voorburgwal,            1012 RD Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,300 per month            ",25 m²
22,Apartment IJdok,            1013 MM Amsterdam (Haarlemmerbuurt)        ,"                €2,595 per month            ",105 m²
23,Apartment Gerard Brandtstraat 6 c3,            1054 JH Amsterdam (Helmersbuurt)        ,"                €2,000 per month            ",60 m²
24,Apartment Wagenstraat,            1017 CZ Amsterdam (Grachtengordel-Zuid)        ,"                €3,100 per month            ",90 m²
25,Apartment Julius Pergerstraat,            1087 KP Amsterdam (IJburg Zuid)        ,"                €1,850 per month            ",80 m²
26,Apartment Laurierstraat 65 F,            1016 PJ Amsterdam (Jordaan)        ,"                €2,550 per month            ",90 m²
27,Apartment Elandsgracht,            1016 VB Amsterdam (Jordaan)        ,"                €1,900 per month            ",60 m²
28,Apartment Bonairestraat,            1058 XL Amsterdam (Westindische Buurt)        ,"                €2,350 per month            ",91 m²
29,Apartment Tweede Tuindwarsstraat 6 B,            1015 RZ Amsterdam (Jordaan)        ,"                €2,750 per month            ",76 m²
